id,text,p_spam,clase,top3
3579,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",0.0,HAM,"point(0.295), number(0.196), multiply(0.163)"
4926,Once free call me sir.,0.0114,HAM,"free(0.591), call(0.364), sir(0.014)"
2951,Hey now am free you can call me.,0.0111,HAM,"free(0.591), call(0.364), hey(0.013)"
693,Will purchase d stuff today and mail to you. Do you have a po box number?,0.0001,HAM,"po(0.778), box(0.678), purchase(0.438)"
1081,Can u get pic msgs to your phone?,0.0002,HAM,"pic(0.394), phone(0.199), msg(0.181)"
2297,Draw va?i dont think so:),0.0065,HAM,"draw(0.768), dont(0.045), think(0.040)"
908,WHITE FUDGE OREOS ARE IN STORES,0.0017,HAM,"store(0.406), fudge(0.163), oreo(0.115)"
2091,Then get some cash together and I'll text jason,0.0003,HAM,"cash(0.665), text(0.390), jason(0.115)"
4057,Noice. Text me when you're here,0.1108,HAM,"text(0.390), noice(0.163)"
498,"Kate jackson rec center before 7ish, right?",0.0,HAM,"rec(0.280), center(0.206), jackson(0.163)"
58,Yes..gauti and sehwag out of odi series.,0.0,HAM,"gauti(0.163), sehwag(0.163), odi(0.115)"
2578,Erm. I thought the contract ran out the4th of october.,0.0,HAM,"contract(0.394), october(0.163), erm(0.115)"
3960,I sent lanre fakeye's Eckankar details to the mail box,0.0,HAM,"box(0.678), detail(0.163), lanre(0.163)"
2737,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,0.0,HAM,"tried(0.510), c(0.417), msg(0.181)"
5168,Water logging in desert. Geoenvironmental implications.,0.0084,HAM,"desert(0.163), water(0.042)"
1345,Que pases un buen tiempo or something like that,0.0002,HAM,"pas(0.438), like(0.026), something(0.007)"
4841,S.this will increase the chance of winning.,0.1178,HAM,"chance(0.507), winning(0.115)"
3746,I'm not. She lip synced with shangela.,0.0037,HAM,"synced(0.163), shangela(0.163), lip(0.089)"
416,Alright i have a new goal now,0.0073,HAM,"goal(0.438), new(0.305), alright(0.021)"
2002,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,0.0,HAM,"selection(0.700), themob(0.609), free(0.591)"
3284,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*,0.0004,HAM,"sam(0.342), ur(0.200), nic(0.163)"
4435,Dear i am not denying your words please,0.0009,HAM,"please(0.244), word(0.181), denying(0.163)"
885,Gibbs unsold.mike hussey,0.0247,HAM,"hussey(0.163), gibbs(0.115)"
395,From here after The performance award is calculated every two month.not for current one month period..,0.0,HAM,"award(0.891), current(0.369), every(0.296)"
661,Then mum's repent how?,0.0238,HAM,mum(0.024)
3327,what number do u live at? Is it 11?,0.0131,HAM,"live(0.480), number(0.196), u(0.056)"
4125,May b approve panalam...but it should have more posts..,0.0001,HAM,"post(0.182), approve(0.163), panalam(0.163)"
1835,* Will be september by then!,0.1631,HAM,september(0.163)
3588,If you were/are free i can give. Otherwise nalla adi entey nattil kittum,0.0,HAM,"free(0.591), adi(0.163), entey(0.163)"
3428,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",0.0009,HAM,"im(0.033), darlin(0.027)"
4724,K:)eng rocking in ashes:),0.0002,HAM,"eng(0.369), rocking(0.163), ash(0.163)"
1481,"I'm a guy, browsin is compulsory",0.0015,HAM,"browsin(0.163), compulsory(0.163), guy(0.038)"
1524,Hi:)cts employee how are you?,0.0019,HAM,"ct(0.163), employee(0.163), hi(0.048)"
3933,"Playin space poker, u?",0.0004,HAM,"space(0.190), playin(0.163), poker(0.115)"
268,The evo. I just had to download flash. Jealous?,0.0044,HAM,"flash(0.163), jealous(0.163), download(0.105)"
74,I am waiting machan. Call me once you free.,0.0124,HAM,"free(0.591), call(0.364), waiting(0.163)"
545,Then any special there?,0.1753,HAM,special(0.175)
2244,No management puzzeles.,0.0247,HAM,"puzzeles(0.163), management(0.115)"
4349,Great. So should i send you my account number.,0.0021,HAM,"account(0.389), send(0.200), number(0.196)"
2348,That seems unnecessarily affectionate,0.0018,HAM,"unnecessarily(0.163), affectionate(0.163), seems(0.046)"
3527,Should i send you naughty pix? :),0.0075,HAM,"pix(0.280), send(0.200), naughty(0.072)"
4784,Send me your resume:-),0.1995,HAM,send(0.200)
3101,Pathaya enketa maraikara pa',0.0002,HAM,"pathaya(0.163), enketa(0.163), maraikara(0.163)"
5284,Dear where you. Call me,0.0368,HAM,"call(0.364), dear(0.063)"
